Molecular,row.ID,row.m.z,row.retention.time,DC_1.Peak.area,DC_2.Peak.area,DC_3.Peak.area,DC_4.Peak.area,DC_5.Peak.area,DC_6.Peak.area,DE_1.Peak.area,DE_2.Peak.area,DE_3.Peak.area,DE_4.Peak.area,DE_5.Peak.area,DE_6.Peak.area,RC_1.Peak.area,RC_2.Peak.area,RC_3.Peak.area,RC_4.Peak.area,RC_5.Peak.area,RC_6.Peak.area,RE_1.Peak.area,RE_2.Peak.area,RE_3.Peak.area,RE_4.Peak.area,RE_5.Peak.area,RE_6.Peak.area,U_1.Peak.area,U_2.Peak.area,U_3.Peak.area,U_4.Peak.area,U_5.Peak.area,U_6.Peak.area,NA.,ID_Ranked,Intensity_Ranked,Class_At_Max_Intensity,Adduct_At_Max_Intensity,Only_One_Class,Molecular,Adducts Confirmed by MS/MS
PE(18:0_18:1),93,744.5526895,17.70403333,176206067.2,148812433.2,172525804.1,174478587.4,156494602.2,163096113.1,142643411.3,136518390.2,143742538.4,134482502.1,133898809.3,157371743.4,161726926.5,176317519.3,168519533.5,170668537.2,180957139.7,172816426.8,143260195.2,137592159.4,137986511.4,132840243.4,136394980.6,140015316.6,39434995.37,39869447.52,37467901.47,41471235.37,40659620.25,36643005.75,NA,1_PE(18:0_18:1)-H,494572.34,PE,[M-H]-,Yes,PE(18:0_18:1),[M-H]-|[M+H]+
PE(18:0_20:4),157,766.5365857,17.05578333,46975157.21,36033811.8,38138203.22,40142054.69,36273752.66,41004062.56,33003207.75,31373095.57,32587943.97,31515472.37,31182695.43,39166517.34,26721692.4,33950654.4,27875793.71,36903709.76,37947442.28,38825816.23,34084582.01,31420815.77,34035658.04,32058438.61,33825567,33675054.25,64073525.93,65997139.47,59434079.85,66643824.22,66991638.36,60729001.29,NA,1_PE(18:0_20:4)-H,330188.02,PE,[M-H]-,Yes,PE(18:0_20:4),[M-H]-|[M+H]+
PE(18:1_18:1),250,744.5537328,16.9647,517284545,431039710.9,454276004.5,511553678.9,455052071.9,473356829.8,396004829,382715501.2,401025521.8,394368628.5,408626752.7,461480213.4,379140146.2,447201746.8,422518504.5,484578062.2,487103930.1,464358941.9,414424348.5,416269272,411826272.7,397816488.8,393333894.9,437335723.2,285548898.4,286865943.9,281367109.8,301754868.6,272613593.9,276871405.1,NA,1_PE(18:1_18:1)+H | 1_PE(18:0_18:2)+H | 3_PE(36:2)+H,16359211.8 | 16253982.24 | 15702566,PE,[M+H]+,Yes,PE(18:1_18:1),[M+H]+
PE(18:1_18:2),347,742.5375607,16.4282,316280576.4,279917668.6,273964723.5,314270524.2,295536763.8,310292696.8,268202762.8,263823874.2,271546530.8,274915848.1,269705390.5,302737834.7,224700406.2,266536691.6,245453027.2,293203058.5,289358290.5,295996099.8,284286851.7,261364711.1,276789606.1,281833801.6,262625613.5,305640641.2,207504364.9,199602385.5,186693055.1,224080352.1,195684222.7,196263937.3,NA,1_PE(18:1_18:2)+H | 1_PE(18:0_18:3)+H | 1_PE(16:0_20:3)+H | 3_PE(36:3)+H,20601322.74 | 20508835.94 | 20508029.66 | 20338686,PE,[M+H]+,Yes,PE(18:1_18:2),[M+H]+
PE(18:1_22:6),229,788.520395,16.0797,1068093.968,384651.1251,1469.068548,1177.825225,295.801551,965891.6192,417229.8902,376751.559,22.33826409,430549.533,345146.0071,909699.1885,0,165.375822,0,127.0537303,366.7907466,0,485524.8038,136.134142,364717.2108,478660.499,456435.8696,864147.0513,11751056.94,12135782.11,10813693.56,12045553.15,11941579.08,10779414.46,NA,1_PE(18:1_22:6)-H,232373.27,PE,[M-H]-,Yes,PE(18:1_22:6),[M-H]-|[M+H]+
PE(18:2_20:4),831,764.5215492,15.59575,9499909.369,10119245.27,5578286.001,4395377.022,9686795.771,12573260.85,10470002.29,8575841.972,9019702.105,10331917.18,9423869.843,11513588.96,0,2844756.697,1087636.916,6494926.504,4724941.034,6449448.233,9813162.647,6814927.438,9510401.996,8349956.162,9299139.405,10016331.67,28054938.54,28593962.91,26835574.03,29652192.18,26734631.67,27704988.69,NA,1_PE(18:2_20:4)+H | 3_PE(38:6)+H | 1_PE(18:1_20:5)+H,551786.64 | 491713.5 | 489864.04,PE,[M+H]+,Yes,PE(18:2_20:4),[M+H]+
PG(18:1_18:1),44,773.5311718,15.7016,95930021.88,93680411.98,78036655.75,87736565.31,80700487.3,84027080.15,96533622.95,86820110.12,95201416.45,80753579.03,85762811.54,94429378.13,90080615.5,90359910.14,87267961.94,84446372.4,89711542.11,91141070.74,88866190.25,90906422.26,97790005.1,84677710.58,90088734.26,79031807.04,4106395.02,3784660.49,3146050.847,2815428.636,3737478.697,2072699.667,NA,1_PG(18:1_18:1)-H,373073.96,PG,[M-H]-,Yes,PG(18:1_18:1),[M-H]-|[M+NH4]+
PG(18:1_18:2),33,771.5156495,14.98265,27200179.71,25451327.35,20678916.09,23240327.73,22409615.38,23539522.05,28081825.12,25277201.21,27830256.32,22704631.2,24378231.06,26783194.96,21904748.47,23696065.14,20557362.42,22779772.47,23043727.78,25077780.08,25118829.53,24643437.32,27317038.87,24133661.96,26518781.56,23701979.53,342308.2097,402552.4865,149893.0193,316828.8085,361478.8751,152891.0908,NA,1_PG(18:1_18:2)-H,338702.02,PG,[M-H]-,Yes,PG(18:1_18:2),[M-H]-|[M+NH4]+
Plasmenyl-PE(P-16:0/22:5),111,750.54217,16.74511667,14812396.95,10711896.68,10430084.43,11361585.08,12452482.56,15778091.92,10050338.69,13799904.33,14860859.79,11037240.28,14474697.29,15727603.08,5622580.826,6434726.824,5658172.172,11989466.82,7980021.945,11752384.11,13667282.83,10056551.76,12197217.73,13434777.15,12084332.48,12759588.19,322546726.6,317167336.9,288902187,342239222.7,286471622.9,306921071.2,NA,1_Plasmenyl-PE(P-16:0/22:5)+H | 3_Plasmanyl-PE(38:6)+H,644323.76 | 73382.56,ether-PE,[M+H]+,Yes,Plasmenyl-PE(P-16:0/22:5),[M+H]+
Plasmenyl-PE(P-18:0/22:5),114,778.5733412,17.63583333,7871115.6,4039307.488,5792594.929,6354168.136,6240119.525,6037833.074,6994991.883,6328980.954,6327480.023,5209460.172,4753423.221,7540966.18,2820027.114,4989686.693,3359461.779,5432554.052,6508057.343,6392035.794,6736106.229,5012381.163,6597620.057,5535466.647,6687527.781,5885774.727,182593690.3,188977635.7,167521077.3,196039708.3,164976350.9,179533573.8,NA,1_Plasmenyl-PE(P-18:0/22:5)+H | 3_Plasmanyl-PE(40:6)+H,524599.54 | 236257.54,ether-PE,[M+H]+,Yes,Plasmenyl-PE(P-18:0/22:5),[M+H]+
Plasmenyl-PE(P-16:0/22:4),48,750.5419458,17.27738333,3281000.398,1569416.56,2245852.716,2455764.895,2259959.069,2768592.058,2215547.643,2435530.18,2574040.303,2177230.767,2298869.703,3002968.531,1135203.97,1711230.216,1306039.665,2276933.247,2189409.603,2410574.55,2462328.194,2159083.601,2421780.04,2129434.415,2044012.097,2562485.156,39794513.5,39855387.59,34892719.93,42077567.12,38815661.01,37761136.22,NA,1_Plasmenyl-PE(P-16:0/22:4)-H,219793.59,ether-PE,[M-H]-,Yes,Plasmenyl-PE(P-16:0/22:4),[M-H]-|[M+H]+
Plasmenyl-PE(P-18:0/20:4),134,752.5580328,17.55196667,27459993.71,21136875.73,21198124.88,24711807.17,23401521.13,27148842.83,24702124.65,23196166.49,22920297.78,23153953.73,23417405.63,26982766.89,13918057.4,19278307.84,15144702.43,24150459.83,20891135.49,22595482.19,23673510.93,20589253.88,24272138.06,23917916.4,21924359.67,26618999.97,468368195.7,477129470.4,432849656.9,504646459.4,429409868,459128464.5,NA,1_Plasmenyl-PE(P-18:0/20:4)+H | 3_Plasmanyl-PE(38:5)+H,919043.07 | 451747.87,ether-PE,[M+H]+,Yes,Plasmenyl-PE(P-18:0/20:4),[M+H]+
Plasmenyl-PE(P-16:0/18:1),146,702.5421446,17.28956667,4784349.976,3947405.832,3800434.872,4505756.401,3785901.535,4347576.729,3582840.962,3316750.352,4043487.508,4026522.975,3741697.086,4522724.568,3804210.302,4186882.415,4127469.173,4685354.376,4051442.935,4331548.33,4333603.14,3992139.428,3811163.567,4004141.132,3727938.676,3747325.595,77047773.6,78322259.8,72321615.33,81915898.54,69383947.55,74131714.68,NA,1_Plasmenyl-PE(P-16:0/18:1)+H | 1_Plasmenyl-PE(P-18:1/16:0)+H | 3_Plasmanyl-PE(34:2)+H,766629.45 | 648511.55 | 356357.25,ether-PE,[M+H]+,Yes,Plasmenyl-PE(P-16:0/18:1),[M+H]+
